rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
722,f,FALSE,0,180,mov,switch,incongruent,1,5
681,j,FALSE,0,180,or,switch,incongruent,1,5
559,f,TRUE,180,180,mov,switch,congruent,1,5
626,j,TRUE,0,0,mov,repetition,congruent,1,5
695,f,TRUE,180,180,or,switch,congruent,1,5
694,f,FALSE,0,180,mov,switch,incongruent,1,5
604,j,TRUE,0,180,mov,repetition,incongruent,1,5
729,f,FALSE,0,180,mov,repetition,incongruent,1,5
793,f,TRUE,180,180,mov,repetition,congruent,1,5
947,f,FALSE,180,0,or,switch,incongruent,1,5
586,j,TRUE,0,0,or,repetition,congruent,1,5
546,f,TRUE,180,180,mov,switch,congruent,1,5
847,j,TRUE,180,0,or,switch,incongruent,1,5
995,j,TRUE,0,0,or,repetition,congruent,1,5
670,j,TRUE,0,180,mov,switch,incongruent,1,5
717,j,FALSE,180,0,mov,repetition,incongruent,1,5
828,f,FALSE,0,180,mov,repetition,incongruent,1,5
681,f,TRUE,180,180,mov,repetition,congruent,1,5
559,f,TRUE,0,180,or,switch,incongruent,1,5
747,f,TRUE,0,180,or,repetition,incongruent,1,5
850,j,FALSE,180,0,mov,switch,incongruent,1,5
944,j,TRUE,0,180,mov,repetition,incongruent,1,5
737,j,FALSE,180,0,mov,repetition,incongruent,1,5
781,f,TRUE,0,180,or,switch,incongruent,1,5
758,f,FALSE,180,0,or,repetition,incongruent,1,5
521,j,TRUE,0,0,or,repetition,congruent,1,5
531,f,FALSE,180,0,or,repetition,incongruent,1,5
630,f,TRUE,180,0,mov,switch,incongruent,1,5
837,j,FALSE,180,0,mov,repetition,incongruent,1,5
703,j,TRUE,0,0,mov,repetition,congruent,1,5
576,f,TRUE,180,180,or,switch,congruent,1,5
705,j,TRUE,180,0,or,repetition,incongruent,1,5
585,j,TRUE,0,0,mov,switch,congruent,1,5
681,j,TRUE,0,0,mov,repetition,congruent,1,5
669,f,TRUE,0,180,or,switch,incongruent,1,5
688,f,TRUE,180,180,or,repetition,congruent,1,5
676,j,TRUE,0,0,or,repetition,congruent,1,5
782,f,FALSE,0,0,mov,switch,congruent,1,5
621,j,FALSE,0,180,or,switch,incongruent,1,5
792,j,TRUE,0,0,or,repetition,congruent,1,5
905,j,TRUE,0,0,mov,switch,congruent,1,5
484,j,TRUE,180,0,or,switch,incongruent,1,5
702,f,FALSE,180,0,or,repetition,incongruent,1,5
551,j,TRUE,0,0,mov,switch,congruent,1,5
605,j,TRUE,180,0,or,switch,incongruent,1,5
